iter	Passed	Remaining
567	7270	5529
568	7282	5516
569	7295	5503
570	7308	5490
571	7320	5477
572	7332	5464
573	7345	5451
574	7356	5437
575	7367	5423
576	7378	5409
577	7391	5396
578	7404	5383
579	7417	5371
580	7430	5358
581	7444	5346
582	7458	5334
583	7471	5322
584	7483	5309
585	7496	5295
586	7507	5282
587	7519	5268
588	7531	5255
589	7542	5241
590	7554	5228
591	7565	5214
592	7577	5201
593	7590	5188
594	7602	5174
595	7613	5160
596	7625	5147
597	7638	5134
598	7648	5120
599	7660	5106
600	7671	5093
601	7683	5079
602	7695	5066
603	7707	5053
604	7720	5040
605	7731	5026
606	7742	5013
607	7754	4999
608	7767	4987
609	7779	4973
610	7791	4960
611	7803	4947
612	7815	4934
613	7826	4920
614	7839	4907
615	7850	4894
616	7862	4880
617	7874	4867
618	7885	4853
619	7898	4841
620	7909	4827
621	7921	4813
622	7932	4800
623	7944	4787
624	7956	4774
625	7968	4760
626	7981	4748
627	7992	4734
628	8004	4721
629	8016	4708
630	8028	4694
631	8038	4680
632	8051	4667
633	8063	4654
634	8074	4641
635	8086	4628
636	8098	4614
637	8109	4601
638	8121	4588
639	8134	4575
640	8148	4563
641	8162	4551
642	8176	4539
643	8190	4527
644	8203	4515
645	8217	4502
646	8230	4490
647	8245	4478
648	8258	4466
649	8271	4454
650	8285	4441
651	8298	4429
652	8312	4416
653	8326	4405
654	8339	4392
655	8352	4379
656	8365	4367
657	8379	4355
658	8393	4343
659	8406	4330
660	8418	4317
661	8432	4305
662	8444	4292
663	8456	4279
664	8467	4265
665	8486	4256
666	8502	4245
667	8517	4233
668	8528	4219
669	8541	4207
670	8554	4194
671	8564	4180
672	8576	4167
673	8588	4153
674	8600	4140
675	8611	4127
676	8623	4114
677	8635	4101
678	8647	4088
679	8658	4074
680	8670	4061
681	8682	4048
682	8694	4035
683	8707	4022
684	8719	4009
685	8730	3996
686	8741	3982
687	8753	3969
688	8764	3956
689	8775	3942
690	8788	3929
691	8800	3917
692	8812	3904
693	8823	3890
694	8836	3877
695	8848	3864
696	8859	3851
697	8871	3838
698	8884	3825
699	8897	3813
700	8908	3799
701	8920	3786
702	8932	3773
703	8944	3760
704	8955	3747
705	8967	3734
706	8979	3721
707	8991	3708
708	9003	3695
709	9014	3682
710	9026	3669
711	9037	3655
712	9048	3642
713	9060	3629
714	9072	3616
715	9084	3603
716	9098	3591
717	9111	3578
718	9124	3566
719	9136	3553
720	9148	3540
721	9161	3527
722	9173	3514
723	9185	3501
724	9196	3488
725	9208	3475
726	9222	3463
727	9234	3450
728	9246	3437
729	9259	3424
730	9272	3412
731	9286	3399
732	9298	3386
733	9311	3374
734	9322	3361
735	9334	3348
736	9346	3335
737	9358	3322
738	9371	3309
739	9383	3296
740	9394	3283
741	9406	3270
742	9419	3258
743	9430	3245
744	9442	3232
745	9454	3219
746	9468	3206
747	9480	3194
748	9493	3181
749	9505	3168
750	9517	3155
751	9528	3142
752	9541	3129
753	9553	3116
754	9565	3104
755	9576	3090
756	9588	3077
757	9601	3065
758	9612	3052
759	9624	3039
760	9635	3026
761	9647	3013
762	9658	3000
763	9670	2987
764	9682	2974
765	9692	2960
766	9704	2947
767	9716	2935
768	9727	2922
769	9737	2908
770	9749	2895
771	9761	2882
772	9772	2869
773	9783	2856
774	9795	2843
775	9806	2830
776	9818	2817
777	9830	2804
778	9842	2792
779	9855	2779
780	9869	2767
781	9882	2755
782	9895	2742
783	9908	2729
784	9921	2717
785	9934	2704
786	9948	2692
787	9961	2680
788	9974	2667
789	9986	2654
790	9998	2641
791	10010	2629
792	10022	2616
793	10032	2602
794	10044	2590
795	10056	2577
796	10066	2564
797	10079	2551
798	10091	2538
799	10103	2525
800	10116	2513
801	10129	2500
802	10141	2488
803	10154	2475
804	10167	2462
805	10180	2450
806	10193	2437
807	10206	2425
808	10218	2412
809	10230	2399
810	10243	2387
811	10257	2374
812	10270	2362
813	10283	2349
814	10295	2336
815	10308	2324
816	10321	2311
817	10333	2299
818	10345	2286
819	10356	2273
820	10367	2260
821	10379	2247
822	10391	2234
823	10405	2222
824	10419	2210
825	10434	2198
826	10448	2185
827	10460	2172
828	10473	2160
829	10486	2147
830	10500	2135
831	10513	2122
832	10525	2110
833	10538	2097
834	10552	2085
835	10565	2072
836	10578	2060
837	10591	2047
838	10604	2035
839	10617	2022
840	10630	2009
841	10643	1997
842	10656	1984
843	10669	1972
844	10682	1959
845	10695	1946
846	10706	1934
847	10718	1921
848	10730	1908
849	10742	1895
850	10754	1882
851	10766	1870
852	10777	1857
853	10788	1844
854	10800	1831
855	10812	1818
856	10824	1806
857	10836	1793
858	10849	1780
859	10863	1768
860	10876	1755
861	10889	1743
862	10901	1730
863	10913	1717
864	10926	1705
865	10939	1692
866	10950	1679
867	10963	1667
868	10975	1654
869	10987	1641
870	10997	1628
871	11009	1616
872	11021	1603
873	11034	1590
874	11046	1578
875	11059	1565
876	11070	1552
877	11082	1539
878	11094	1527
879	11106	1514
880	11118	1501
881	11129	1488
882	11140	1476
883	11152	1463
884	11163	1450
885	11176	1438
